N,M,T,V,J_V_final,GROUND_STATE_OVERLAP,ENERGY_DIFFERENCE
2,2,0.1,-1,0.0,0.0013280529025437113,0.9986719470974563
2,2,0.1,-1,0.5,0.16734744794685483,1.5538638489915837
2,2,0.1,-1,2.0,0.2549388628194056,4.250016402146576
2,2,0.1,-1,2.0,0.2549388628194056,4.250016402146576
2,2,0.1,1,0.0,1.8431751420893468e-35,1.000163768632659
2,2,0.1,1,0.5,1.3770399102368736e-32,0.9761547972244927
2,2,0.1,1,2.0,0.3203381901538659,3.2268808682779286
2,2,0.1,1,2.0,0.3203381901538659,3.2268808682779286
2,2,0.5125000000000001,-1,0.0,0.599338155278587,0.40066184472141286
2,2,0.5125000000000001,-1,0.0,0.599338155278587,0.40066184472141286
2,2,0.5125000000000001,-1,0.5,0.9758056868314886,0.04874576046014889
2,2,0.5125000000000001,-1,0.5,0.9758056868314886,0.04874576046014889
2,2,0.5125000000000001,-1,2.0,0.9925675515488481,0.04454089098344394
2,2,0.5125000000000001,1,0.0,2.8973584759067742e-34,1.0001398798732943
2,2,0.5125000000000001,1,0.0,2.8973584759067742e-34,1.0001398798732943
2,2,0.5125000000000001,1,0.5,1.902149527972322e-18,0.8338381750668491
2,2,0.5125000000000001,1,2.0,0.9946842571243909,0.028327135561254213
2,2,0.925,-1,0.0,0.7032995060584991,0.29670049394150066
2,2,0.925,-1,0.5,0.9962952412072421,0.008064403681501853
2,2,0.925,-1,2.0,0.9972033688186303,0.02215469465804709
2,2,0.925,1,0.0,1.0532429383367696e-35,1.0000957139868287
2,2,0.925,1,0.5,9.102283342200122e-18,0.6817931821862837
2,2,0.925,1,2.0,0.9948332692212234,0.04066122904541736
2,2,1.3375000000000001,-1,0.0,0.7865576154981921,0.21344238450180764
2,2,1.3375000000000001,-1,0.5,0.997674408120126,0.004824828847452611
2,2,1.3375000000000001,-1,2.0,0.9993588954985889,0.005082254574411138
2,2,1.3375000000000001,1,0.0,1.1435209044799213e-34,1.0001020394743336
2,2,1.3375000000000001,1,0.5,7.416737913658556e-18,0.6265005251978015
2,2,1.3375000000000001,1,2.0,0.9984251326166421,0.012322860630591403
2,2,1.7500000000000002,-1,0.0,0.8273279251827137,0.1726720748172862
2,2,1.7500000000000002,-1,0.5,0.9974286886143613,0.005393104471824728
2,2,1.7500000000000002,-1,2.0,0.9999741419274053,0.00020450403000094042
2,2,1.7500000000000002,1,0.0,1.1555579666323415e-33,1.003404421751974
2,2,1.7500000000000002,1,0.5,6.662548689382042e-19,0.8454801339382444
2,2,1.7500000000000002,1,2.0,0.9999677207294688,0.00025086563101917037
2,2,10.0,-1,0.0,0.9900631607481473,0.009936839251852514
2,2,10.0,-1,0.5,0.9988204168906365,0.002430451346517426
2,2,10.0,-1,2.0,0.9999993362075814,5.233664806425509e-06
2,2,10.0,1,0.0,1.8416705093202943e-33,1.0000203532467844
2,2,10.0,1,0.5,2.1189140767056e-18,0.6503129853624787
2,2,10.0,1,2.0,0.9999970698715817,1.5576268390216086e-05
2,2,2.1625,-1,0.0,0.8919466738692972,0.10805332613070284
2,2,2.1625,-1,0.5,0.9984321384823388,0.003175628030567257
2,2,2.1625,-1,2.0,0.999976249125248,0.00018886648696181396
2,2,2.1625,1,0.0,1.3870833339702993e-34,1.000075603092607
2,2,2.1625,1,0.5,7.009121338219286e-18,0.6333654490683632
2,2,2.1625,1,2.0,0.9997738982783307,0.0017792738039155154
2,2,2.575,-1,0.0,0.9362142298735098,0.06378577012649012
2,2,2.575,-1,0.5,0.997600048381364,0.004984420751113827
2,2,2.575,-1,2.0,0.9999667028802557,0.00026647343268049184
2,2,2.575,1,0.0,8.538790964373096e-35,1.0000713589207137
2,2,2.575,1,0.5,7.11586486962474e-18,0.5867677188069483
2,2,2.575,1,2.0,0.99999147987484,6.541233266821322e-05
2,2,2.9875000000000003,-1,0.0,0.9261327549992805,0.0738672450007194
2,2,2.9875000000000003,-1,0.5,0.9983741243499668,0.003330007514503741
2,2,2.9875000000000003,-1,2.0,0.9999838744490325,0.00012924597974972585
2,2,2.9875000000000003,1,0.0,1.2079432611196743e-30,1.3101781399869195
2,2,2.9875000000000003,1,0.5,8.246828680776983e-18,0.5887227977042504
2,2,2.9875000000000003,1,2.0,0.9999437488452888,0.0004475143122113501
2,2,3.4000000000000004,-1,0.0,0.9368830420568683,0.06311695794313166
2,2,3.4000000000000004,-1,0.5,0.9979374196017551,0.004277056022553349
2,2,3.4000000000000004,-1,0.5,0.9979374196017551,0.004277056022553349
2,2,3.4000000000000004,-1,2.0,0.9999810582438857,0.00015232716849133965
2,2,3.4000000000000004,-1,2.0,0.9999810582438857,0.00015232716849133965
2,2,3.4000000000000004,1,0.0,-2.135069419565728e-21,1.0000617403820269
2,2,3.4000000000000004,1,0.5,8.936314941956774e-32,0.591394509253618
2,2,3.4000000000000004,1,0.5,8.936314941956774e-32,0.591394509253618
2,2,3.4000000000000004,1,2.0,0.999981090071039,0.00015069422893798645
2,2,3.4000000000000004,1,2.0,0.999981090071039,0.00015069422893798645
2,2,3.8125000000000004,-1,0.0,0.9395898127636209,0.06041018723637892
2,2,3.8125000000000004,-1,0.0,0.9395898127636209,0.06041018723637892
2,2,3.8125000000000004,-1,0.5,0.9980686111307527,0.0039965619739263936
2,2,3.8125000000000004,-1,0.5,0.9980686111307527,0.0039965619739263936
2,2,3.8125000000000004,-1,2.0,0.999996782819925,2.5688073713503456e-05
2,2,3.8125000000000004,-1,2.0,0.999996782819925,2.5688073713503456e-05
2,2,3.8125000000000004,1,0.0,9.441570625804613e-35,1.0000533107919154
2,2,3.8125000000000004,1,0.0,9.441570625804613e-35,1.0000533107919154
2,2,3.8125000000000004,1,0.5,1.6694082908960353e-19,0.6754572551166919
2,2,3.8125000000000004,1,0.5,1.6694082908960353e-19,0.6754572551166919
2,2,3.8125000000000004,1,2.0,0.9999883410502012,9.227535474476412e-05
2,2,3.8125000000000004,1,2.0,0.9999883410502012,9.227535474476412e-05
2,2,4.225,-1,0.0,0.9648691157917972,0.03513088420820254
2,2,4.225,-1,0.0,0.9648691157917972,0.03513088420820254
2,2,4.225,-1,0.5,0.9978737959146475,0.004411256833666943
2,2,4.225,-1,0.5,0.9978737959146475,0.004411256833666943
2,2,4.225,-1,2.0,0.9999945302444609,4.285925297775606e-05
2,2,4.225,-1,2.0,0.9999945302444609,4.285925297775606e-05
2,2,4.225,1,0.0,2.445028249710358e-35,1.0001364190732875
2,2,4.225,1,0.0,2.445028249710358e-35,1.0001364190732875
2,2,4.225,1,0.5,3.3387827225204724e-18,0.547844965892184
2,2,4.225,1,0.5,3.3387827225204724e-18,0.547844965892184
2,2,4.225,1,2.0,0.9999913961019582,6.876169462444182e-05
2,2,4.225,1,2.0,0.9999913961019582,6.876169462444182e-05
2,2,4.6375,-1,0.0,0.9783618262073586,0.021638173792641324
2,2,4.6375,-1,0.0,0.9783618262073586,0.021638173792641324
2,2,4.6375,-1,0.5,0.9975559696210938,0.005068316641443582
2,2,4.6375,-1,0.5,0.9975559696210938,0.005068316641443582
2,2,4.6375,-1,2.0,0.9999968660700818,2.509040547948871e-05
2,2,4.6375,-1,2.0,0.9999968660700818,2.509040547948871e-05
2,2,4.6375,1,0.0,1.1585672321704466e-34,1.0000491301617633
2,2,4.6375,1,0.0,1.1585672321704466e-34,1.0000491301617633
2,2,4.6375,1,0.5,8.815930951960976e-18,0.5611410461401996
2,2,4.6375,1,0.5,8.815930951960976e-18,0.5611410461401996
2,2,4.6375,1,2.0,0.9999966154319404,2.2945387584627497e-05
2,2,4.6375,1,2.0,0.9999966154319404,2.2945387584627497e-05
2,2,5.05,-1,0.0,0.9831345643720666,0.0168654356279333
2,2,5.05,-1,0.0,0.9831345643720666,0.0168654356279333
2,2,5.05,-1,0.5,0.9992336381296638,0.001574771068411529
2,2,5.05,-1,0.5,0.9992336381296638,0.001574771068411529
2,2,5.05,-1,2.0,0.9999969015991024,2.2953782251811106e-05
2,2,5.05,-1,2.0,0.9999969015991024,2.2953782251811106e-05
2,2,5.05,1,0.0,5.0254734486354436e-34,1.0000415675832068
2,2,5.05,1,0.0,5.0254734486354436e-34,1.0000415675832068
2,2,5.05,1,0.5,8.659381649826106e-18,0.5480579970940609
2,2,5.05,1,0.5,8.659381649826106e-18,0.5480579970940609
2,2,5.05,1,2.0,0.9999822594238691,0.00014035443075854914
2,2,5.05,1,2.0,0.9999822594238691,0.00014035443075854914
2,2,5.4625,-1,0.0,0.9845504113381978,0.015449588661802016
2,2,5.4625,-1,0.0,0.9845504113381978,0.015449588661802016
