filename,N,M,V,J_V_final,T,rough_success,refined_success,ground_state_overlap,energy_difference
output_1.txt,3,2,1,2.5,0.1,True,True,0.158649,6.423261
output_10.txt,2,2,1,2.5,3.8125000000000004,True,True,1.0,1e-06
output_100.txt,3,5,1,2.5,6.2875000000000005,True,True,0.984432,0.034419
output_101.txt,3,5,1,2.5,6.7,True,True,0.985867,0.024393
output_102.txt,3,5,1,2.5,7.1125,True,True,0.988616,0.017364
output_103.txt,3,5,1,2.5,7.525,True,True,0.985899,0.019698
output_104.txt,3,5,1,2.5,7.9375,True,True,0.980136,0.031745
output_105.txt,3,5,1,2.5,8.35,True,True,0.984146,0.020816
output_106.txt,3,5,1,2.5,8.762500000000001,True,True,0.93036,0.412191
output_107.txt,3,5,1,2.5,9.175,True,True,0.938979,0.39056
output_108.txt,3,5,1,2.5,9.5875,True,True,0.977905,0.028898
output_109.txt,2,2,1,2.5,7.525,True,True,1.0,0.0
output_11.txt,3,2,1,2.5,3.8125000000000004,True,True,0.999988,0.0001
output_110.txt,2,2,1,2.5,0.1,True,True,0.283999,4.434207
output_111.txt,3,5,1,2.5,10.0,True,True,0.989832,0.012707
output_112.txt,4,2,1,2.5,0.1,True,True,0.088553,8.413228
output_113.txt,4,2,1,2.5,0.5125000000000001,True,True,0.980071,0.147346
output_114.txt,4,2,1,2.5,0.925,True,True,0.986506,0.053386
output_115.txt,4,2,1,2.5,1.3375000000000001,True,True,0.993458,0.032213
output_116.txt,4,2,1,2.5,1.7500000000000002,True,True,0.986617,0.048533
output_117.txt,4,2,1,2.5,2.1625,True,True,0.997444,0.016704
output_118.txt,4,2,1,2.5,2.575,True,True,0.998876,0.007177
output_119.txt,4,2,1,2.5,2.9875000000000003,True,True,0.995547,0.017463
output_12.txt,3,2,1,2.5,4.225,True,True,0.999135,0.0053
output_120.txt,4,2,1,2.5,3.4000000000000004,True,True,0.999888,0.000839
output_121.txt,2,2,1,2.5,7.9375,True,True,1.0,0.0
output_122.txt,4,2,1,2.5,3.8125000000000004,True,True,0.998745,0.008583
output_123.txt,4,2,1,2.5,4.225,True,True,0.99892,0.006026
output_124.txt,4,2,1,2.5,4.6375,True,True,0.999877,0.000682
output_125.txt,4,2,1,2.5,5.05,True,True,0.999794,0.001363
output_126.txt,4,2,1,2.5,5.4625,True,True,0.999956,0.000369
output_127.txt,4,2,1,2.5,5.875,True,True,0.999948,0.000315
output_128.txt,4,2,1,2.5,6.2875000000000005,True,True,0.999975,0.000177
output_129.txt,4,2,1,2.5,6.7,True,True,0.999511,0.002989
output_13.txt,3,2,1,2.5,4.6375,True,True,0.99995,0.000345
output_130.txt,4,2,1,2.5,7.1125,True,True,0.999972,0.000187
output_131.txt,4,2,1,2.5,7.525,True,True,0.99998,0.000134
output_132.txt,2,2,1,2.5,8.35,True,True,1.0,0.0
output_133.txt,4,2,1,2.5,7.9375,True,True,0.999996,3.1e-05
output_134.txt,4,2,1,2.5,8.35,True,True,0.999993,5.2e-05
output_135.txt,4,2,1,2.5,8.762500000000001,True,True,0.9999,0.000733
output_136.txt,4,2,1,2.5,9.175,True,True,0.999723,0.001806
output_137.txt,4,2,1,2.5,9.5875,True,True,0.999983,0.000117
output_138.txt,4,2,1,2.5,10.0,True,True,0.999975,0.000182
output_139.txt,4,3,1,2.5,0.1,True,True,0.005254,12.526954
output_14.txt,3,2,1,2.5,5.05,True,True,0.999931,0.00051
output_140.txt,4,3,1,2.5,0.5125000000000001,True,True,0.877199,0.809937
output_141.txt,4,3,1,2.5,0.925,True,True,0.983858,0.083248
output_142.txt,4,3,1,2.5,1.3375000000000001,True,True,0.982749,0.06862
output_143.txt,2,2,1,2.5,8.762500000000001,True,True,0.999654,0.003402
output_144.txt,4,3,1,2.5,1.7500000000000002,True,True,0.984226,0.048805
output_145.txt,4,3,1,2.5,2.1625,True,True,0.986885,0.042872
output_146.txt,4,3,1,2.5,2.575,True,True,0.987914,0.051635
output_147.txt,4,3,1,2.5,2.9875000000000003,True,True,0.993316,0.024679
output_148.txt,4,3,1,2.5,3.4000000000000004,True,True,0.996218,0.014008
output_149.txt,4,3,1,2.5,3.8125000000000004,True,True,0.99744,0.009151
output_15.txt,3,2,1,2.5,5.4625,True,True,0.999998,1.8e-05
output_150.txt,4,3,1,2.5,4.225,True,True,0.99887,0.005167
output_151.txt,4,3,1,2.5,4.6375,True,True,0.998618,0.006874
output_152.txt,4,3,1,2.5,5.05,True,True,0.998832,0.007747
output_153.txt,4,3,1,2.5,5.4625,True,True,0.999947,0.000351
output_154.txt,2,2,1,2.5,9.175,True,True,1.0,0.0
output_155.txt,4,3,1,2.5,5.875,True,True,0.998446,0.009291
output_156.txt,4,3,1,2.5,6.2875000000000005,True,True,0.999246,0.00463
output_157.txt,4,3,1,2.5,6.7,True,True,0.999358,0.003498
output_158.txt,4,3,1,2.5,7.1125,True,True,0.992692,0.041861
output_159.txt,4,3,1,2.5,7.525,True,True,0.999912,0.000567
output_16.txt,3,2,1,2.5,5.875,True,True,0.999999,9e-06
output_160.txt,4,3,1,2.5,7.9375,True,True,0.999822,0.000914
output_161.txt,4,3,1,2.5,8.35,True,True,0.999564,0.001825
output_162.txt,4,3,1,2.5,8.762500000000001,True,True,0.984703,0.064663
output_163.txt,4,3,1,2.5,9.175,True,True,0.99981,0.000975
output_164.txt,4,3,1,2.5,9.5875,True,True,0.996298,0.021268
output_165.txt,2,2,1,2.5,9.5875,True,True,1.0,0.0
output_166.txt,4,3,1,2.5,10.0,True,True,0.999555,0.002069
output_167.txt,4,4,1,2.5,0.1,True,True,0.00044,14.683442
output_168.txt,4,4,1,2.5,0.5125000000000001,True,True,0.063104,6.228676
output_169.txt,4,4,1,2.5,0.925,True,True,0.933978,0.452044
output_17.txt,3,2,1,2.5,6.2875000000000005,True,True,0.999825,0.001192
output_170.txt,4,4,1,2.5,1.3375000000000001,True,True,0.976578,0.128515
output_171.txt,4,4,1,2.5,1.7500000000000002,True,True,0.928994,0.464631
output_172.txt,4,4,1,2.5,2.1625,True,True,0.970075,0.114477
output_173.txt,4,4,1,2.5,2.575,True,True,0.918905,0.552639
output_174.txt,4,4,1,2.5,2.9875000000000003,True,True,0.980448,0.057209
output_175.txt,4,4,1,2.5,3.4000000000000004,True,True,0.984053,0.040485
output_176.txt,2,2,1,2.5,10.0,True,True,1.0,0.0
output_177.txt,4,4,1,2.5,3.8125000000000004,True,True,0.988419,0.028025
output_178.txt,4,4,1,2.5,4.225,True,True,0.989994,0.02293
output_179.txt,4,4,1,2.5,4.6375,True,True,0.99281,0.02099
output_18.txt,3,2,1,2.5,6.7,True,True,0.999948,0.000428
output_180.txt,4,4,1,2.5,5.05,True,True,0.991747,0.018345
output_181.txt,4,4,1,2.5,5.4625,True,True,0.994458,0.011785
output_182.txt,4,4,1,2.5,5.875,True,True,0.995317,0.009648
output_183.txt,4,4,1,2.5,6.2875000000000005,True,True,0.988988,0.023906
output_184.txt,4,4,1,2.5,6.7,True,True,0.985184,0.041862
output_185.txt,4,4,1,2.5,7.1125,True,True,0.996494,0.008585
output_186.txt,4,4,1,2.5,7.525,True,True,0.997263,0.007769
output_187.txt,2,3,1,2.5,0.1,True,True,0.070192,6.497977
output_188.txt,4,4,1,2.5,7.9375,True,True,0.993104,0.01389
output_189.txt,4,4,1,2.5,8.35,True,True,0.992879,0.015248
output_19.txt,3,2,1,2.5,7.1125,True,True,0.999995,3.3e-05
output_190.txt,4,4,1,2.5,8.762500000000001,True,True,0.994028,0.012883
output_191.txt,4,4,1,2.5,9.175,True,True,0.994687,0.010438
output_192.txt,4,4,1,2.5,9.5875,True,True,0.995424,0.010043
output_193.txt,4,4,1,2.5,10.0,True,True,0.99942,0.001798
output_194.txt,4,5,1,2.5,0.1,True,True,4.9e-05,15.974485
output_195.txt,4,5,1,2.5,0.5125000000000001,True,True,0.003251,8.61212
output_196.txt,,,,,,False,False,,
output_197.txt,4,5,1,2.5,1.3375000000000001,True,True,0.949986,0.304684
output_198.txt,2,3,1,2.5,0.5125000000000001,True,True,0.841792,0.996734
output_199.txt,4,5,1,2.5,1.7500000000000002,True,True,0.958218,0.240937
output_2.txt,3,2,1,2.5,0.5125000000000001,True,True,0.986603,0.101366
output_20.txt,3,2,1,2.5,7.525,True,True,0.999989,9e-05
output_200.txt,,,,,,False,False,,
output_201.txt,,,,,,False,False,,
output_202.txt,,,,,,False,False,,
output_203.txt,,,,,,False,False,,
output_204.txt,,,,,,False,False,,
output_205.txt,,,,,,False,False,,
output_206.txt,,,,,,False,False,,
output_207.txt,,,,,,False,False,,
output_208.txt,,,,,,False,False,,
output_209.txt,2,3,1,2.5,0.925,True,True,0.991076,0.060039
output_21.txt,2,2,1,2.5,4.225,True,True,1.0,0.0
output_210.txt,,,,,,False,False,,
output_211.txt,,,,,,False,False,,
output_212.txt,,,,,,False,False,,
output_213.txt,,,,,,False,False,,
output_214.txt,,,,,,False,False,,
output_215.txt,,,,,,False,False,,
output_216.txt,,,,,,False,False,,
output_217.txt,,,,,,False,False,,
output_218.txt,,,,,,False,False,,
output_219.txt,,,,,,False,False,,
output_22.txt,3,2,1,2.5,7.9375,True,True,0.999891,0.000833
output_220.txt,2,3,1,2.5,1.3375000000000001,True,True,0.996764,0.027082
output_221.txt,2,2,1,2.5,0.5125000000000001,True,True,0.994698,0.048228
output_222.txt,,,,,,False,False,,
output_223.txt,5,2,1,2.5,0.1,True,True,0.049425,10.403219
